"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_tweetid","in_reply_to_userid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions","poll_choices"
"908680907791335424","uvqBuB+CG9pCX7Fy476OWhXYWsS5WpcWdOu3gHxKb+M=","uvqBuB+CG9pCX7Fy476OWhXYWsS5WpcWdOu3gHxKb+M=","uvqBuB+CG9pCX7Fy476OWhXYWsS5WpcWdOu3gHxKb+M=","Estados Unidos","#PATRIOT #BACKTHEBLUE #1A #2A #MAGA I SUPPORT @POTUS @FLOTUS 100% #SUPPORTOURTROOPS #VETS ????#TRUMPTRAIN. LOVE HISTORY/ASTRONOMY/NATURE/TRAVELING/LEARNING.","https://t.co/4srF9AuhkP","2191","81","2017-08-18","es","MSNBC Declares Violent, Communist Antifa ‘ANGELS’  https://t.co/ILxjBHWJfi","2017-09-15 13:16","Zapier.com","","","","False","","","absent","absent","0.0","0.0","1.0","1.0","[]","[http://zpr.io/nUejH]","[]",""
"909151937140060160","lXYxW4d8QPnQG625H6gSvJsRkxs+GRQk3m754YdcdNw=","lXYxW4d8QPnQG625H6gSvJsRkxs+GRQk3m754YdcdNw=","lXYxW4d8QPnQG625H6gSvJsRkxs+GRQk3m754YdcdNw=","Estados Unidos","Conservative, Donald Trump is my President! Love; God, Country, Family, Guns and Dogs.Tennessee Volunteers Football Fan #MAGA","https://t.co/4srF9ALSJp","2389","81","2017-08-18","es","They Didn't Think A Leak Was A Big Deal. Then The Lawn Turned Into A Moon Bounce.  https://t.co/zaA3iREdWV","2017-09-16 20:28","Zapier.com","","","","False","","","absent","absent","0.0","2.0","1.0","0.0","[]","[http://zpr.io/nPn8T]","[]",""
"903661764327469056","qkMezPYXezK3L7iVJHtKJnohYaiIG+vrifGBiriacY=","qkMezPYXezK3L7iVJHtKJnohYaiIG+vrifGBiriacY=","qkMezPYXezK3L7iVJHtKJnohYaiIG+vrifGBiriacY=","Estados Unidos","Hello, its so nice to see you on here,I am ada new on here hoping to meet the right man for me,I am 33 years and i am a widow and i have a son of 2 years,Aaron","https://t.co/4srF9ALSJp","951","84","2017-08-18","es","DISGUSTING! Trump Supporter’s Car Defaced By Leftists in San Francisco  https://t.co/vEUh8rIBpJ","2017-09-01 16:52","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/PWWYn]","[]",""
"908516051201249281","qkMezPYXezK3L7iVJHtKJnohYaiIG+vrifGBiriacY=","qkMezPYXezK3L7iVJHtKJnohYaiIG+vrifGBiriacY=","qkMezPYXezK3L7iVJHtKJnohYaiIG+vrifGBiriacY=","Estados Unidos","Hello, its so nice to see you on here,I am ada new on here hoping to meet the right man for me,I am 33 years and i am a widow and i have a son of 2 years,Aaron","https://t.co/4srF9ALSJp","951","84","2017-08-18","es","BREAKING: Gowdy Just Called Out Comey for Violating FEDERAL LAW!  https://t.co/Q5P61W4jD2","2017-09-15 02:21","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nU54b]","[]",""
"908327578435547155","Ia4dZVTjS3cVDs7oaUF64BtXAjO3qZ3h5YXRweTJA4=","Ia4dZVTjS3cVDs7oaUF64BtXAjO3qZ3h5YXRweTJA4=","Ia4dZVTjS3cVDs7oaUF64BtXAjO3qZ3h5YXRweTJA4=","Estados Unidos","Life member NRA & IKF ""Say When"".. Cause I Play For Blood. NO PC VETS & PATRIOTSWELCOMED #MAGA.#VETS #GUNSMATTER ??","https://t.co/4srF9AuhkP","1885","83","2017-08-18","es","Alt-Left Thugs Vandalize Statue of American National Anthem Author  https://t.co/7Igg6Zyd0q","2017-09-14 13:52","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nUSSK]","[]",""
"905980416351404032","tUgN6KMPxedYIWdUXn2vKi49Y6WwR3ALpl3Ftg1Fo=","tUgN6KMPxedYIWdUXn2vKi49Y6WwR3ALpl3Ftg1Fo=","tUgN6KMPxedYIWdUXn2vKi49Y6WwR3ALpl3Ftg1Fo=","Estados Unidos","A woman who is so happy to have lived to see our country given back to us, we the people. #MAGA #SupportPotus45 & #METS #GoNoles","https://t.co/4srF9AuhkP","2439","84","2017-08-18","es","BREAKING: Billionaire Koch Brothers Side with Obama on DACA  https://t.co/JvSeUU8Ynq","2017-09-08 02:25","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/PQrCq]","[]",""
"907713398418395136","tUgN6KMPxedYIWdUXn2vKi49Y6WwR3ALpl3Ftg1Fo=","tUgN6KMPxedYIWdUXn2vKi49Y6WwR3ALpl3Ftg1Fo=","tUgN6KMPxedYIWdUXn2vKi49Y6WwR3ALpl3Ftg1Fo=","Estados Unidos","A woman who is so happy to have lived to see our country given back to us, we the people. #MAGA #SupportPotus45 & #METS #GoNoles","https://t.co/4srF9AuhkP","2439","84","2017-08-18","es","‘The View’ Claims We’ll NEVER Know Why Hillary Lost the Election  https://t.co/KKNSoESMo2","2017-09-12 21:11","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nUMFM]","[]",""
"906991444560371717","6rWWoE42KlVDlxRHShUYss0fekqAdx8izhUv6JjVSo4=","6rWWoE42KlVDlxRHShUYss0fekqAdx8izhUv6JjVSo4=","6rWWoE42KlVDlxRHShUYss0fekqAdx8izhUv6JjVSo4=","Estados Unidos","Trump is my President !! I Care about him because he cares about US and the USA and our freedoms !! Follow me..!!","https://t.co/zxyYYbkrR5","3230","4847","2017-09-05","es","BREAKING: Group of Ft. Lauderdale Looters Caught on Camera!  https://t.co/FpLt0sFXNR","2017-09-10 21:23","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nUtRe]","[]",""
"905448799144988672","l4dTNHjyY8CPC2lXqqlAHTuZ80Mur18FCUsvlYQqCO4=","l4dTNHjyY8CPC2lXqqlAHTuZ80Mur18FCUsvlYQqCO4=","l4dTNHjyY8CPC2lXqqlAHTuZ80Mur18FCUsvlYQqCO4=","Estados Unidos","????1st-day DJT ??NO DM(FAMILYonly),#PATRIOT,TCB,??DD4EvRpledKpR??,Hlp Hmless #VET s1st,#1A,#2A,NO PC. Followd by #OmarNavarro NOlists,NOporn=block.?? ~Quipable","https://t.co/4srF9ALSJp","1355","111","2017-08-18","es","BREAKING: Gov. Rick Scott Urges Residents to Prepare as Irma Turns North  https://t.co/99HyMilCws","2017-09-06 15:13","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/PQyUZ]","[]",""
"906301804853563398","WIum2V74ppWspnzZ3KzvYnErpXRaGcPwbFWM2a8bZc0=","WIum2V74ppWspnzZ3KzvYnErpXRaGcPwbFWM2a8bZc0=","WIum2V74ppWspnzZ3KzvYnErpXRaGcPwbFWM2a8bZc0=","Estados Unidos","Originally from New York City; Combat veteran, conservative, and PROUD Trump supporter always! I don't speak liberal: I finished 3rd grade. Trump 2020!","https://t.co/4srF9ALSJp","1262","4828","2017-08-18","es","Pelosi Tells Illegals ‘You Make America More American’  https://t.co/cMSY8vHPdk","2017-09-08 23:42","Zapier.com","","","","False","","","absent","absent","0.0","0.0","1.0","1.0","[]","[http://zpr.io/PQeKG]","[]",""
